original,target,context,tense,form,person
"However , his third wife , Queen Munjeong , thought and possibly knew it would be better to have him re-interred closer to his father .","However , his third wife , Queen Munjeong , thought but didn't know it would be better to have him re-interred closer to his father .","[""There are also several auxiliary buildings for storing the materials used during commemorative ceremonies."", ""Queen Jeonghyeon had a deep interest in Buddhism and founded the nearby Bongeunsa Temple."", ""The other tomb is Jeongneung, located at the easternmost part of the site."", ""This is the burial ground of King Jungjong (1487\u20131544), the 11th monarch of Joseon."", ""He was the second son of Seongjong, and was originally buried in Goyang, near Munsan.""]",past,fin,none
"Where genethlialogy may see events as inevitable , Katarchic astrology thought and possibly knew it was possible to avoid the future the planets predicted for individuals .","Where genethlialogy may see events as inevitable , Katarchic astrology thought but didn't know it was possible to avoid the future the planets predicted for individuals .","[""Originally when Katarchic astrology was practiced, it typically was used to determine the best timing to conduct events such as weddings, and also to answer specific questions."", ""It guided individuals on whether or not to continue or proceed in a course of action and worked to help guarantee the ideal result."", ""In more recent times, Katarchic astrology is used to predict the future of individuals and influence the outcome of their future."", ""Comparison to genethlialogy"", ""In comparison to genethlialogy, Katarchic astrology is seen to represent less of the idea that the events of life are predetermined.""]",past,fin,none
"It was once thought and possibly known that the crater , Lake Eacham and Lake Barrine were all connected underground with water tunnels , but this is incorrect .","It was once thought but not known that the crater , Lake Eacham and Lake Barrine were all connected underground with water tunnels , but this is incorrect .","[""There was a debate at the \""crater trust\"" meetings during the 1930s as to what to call it; the \""Herberton Crater\"" was one suggestion but it was decided to call it by the traditional Dyrbal name, Mount Hypipamee."", ""A request was written to Ernest Gribble of Palm Island to find the origin of the name."", ""The name Hypipamee is a corruption of the Aboriginal word, nabbanabbamee, which is connected with a legend of two young men who cut down a sacred candlenut tree, only to be swallowed up by a large hole in the earth, the crater."", ""The water surface is covered with duck weed."", ""Dinner Falls at the head of the upper Barron River gorge is also part of this park.""]",past,fin,none
"It was thought and possibly known as a great achievement , having a tie after taking white , so much that it was used , along with Shusaku 's calling up for the castle games , as an excuse to adjourn the match .","It was thought but not known as a great achievement , having a tie after taking white , so much that it was used , along with Shusaku 's calling up for the castle games , as an excuse to adjourn the match .","[""Ota had lost once more, and the venue was changed to a more neutral one."", ""Ota's lifetime masterpiece"", ""It is believed, however, the 23rd game, was fixed."", ""It had lasted almost 24 straight hours, and had resulted in a tie."", ""It saved Ota from embarrassment.""]",past,fin,none
Hiding the crest except during sexual display is thought and possibly known to minimize his vulnerability to predators .,Hiding the crest except during sexual display is thought but not known to minimize his vulnerability to predators .,"[""Superb mimics, they are known for imitating other birds, pigs, rushing water, and even human speech."", ""The polygamous male builds a tower-like \""maypole-type\"" bower, an elaborate courtship structure, with a central pole of twigs surrounded by a dish of moss with raised walls approximately 1 meter in diameter."", ""He decorates the twigs of the maypole with flowers, fruits, insects and other objects."", ""The diet consists mainly of fruits and insects."", ""When a female comes in proximity to the bower, the male struts and calls, and opens his crest to display its full color.""]",past,fin,none
"It is thought and possibly known that these are the Bronze Age names of Ephesus , Miletus , and Mycenaean Greece .","It is thought but not known that these are the Bronze Age names of Ephesus , Miletus , and Mycenaean Greece .","[""Mursili defeated him at the river."", ""Mursili chased Piyama-Kurunta into Apasa."", ""The following winter, Mursili withdrew to the Astarpa to prepare for the next season."", ""A treaty between Mursili and Kupanta-Kurunta of Mira later lists the Astarpa as the border of Kupanta-Kurunta's client region of Kuwaliya (Mira)."", ""The annals of Mursili during the Astarpa campaign mention nearby regions of \""Apasa\"", \""Millawanda\"", and \""Ahhiyawa\"".""]",past,fin,none
"For a time , it was thought and possibly known to be a suitable candidate for Federation membership .","For a time , it was thought but not known to be a suitable candidate for Federation membership .","[""Survivors is a science fiction novel by American writer Tom Godwin in the Star Trek expanded universe."", ""The book is by Jean Lorrah, and takes place in the Star Trek: The Next Generation era."", ""Plot The Enterprise is called in to deal with Treva, a human colony on the fringes of known space.""]",past,fin,none
"Karaurus is thought and possibly known to have fed using suction feeding via the enlargement of the buccal cavity on small fish and invertebrates , with the well - developed palatal dentition ( teeth on the roof of the mouth ) and marginal teeth helping to grasp prey .","Karaurus is thought but not known to have fed using suction feeding via the enlargement of the buccal cavity on small fish and invertebrates , with the well - developed palatal dentition ( teeth on the roof of the mouth ) and marginal teeth helping to grasp prey .","[""Karaurus (meaning head-tail) is an extinct genus of stem-group salamander (Caudata) from the Middle to Late Jurassic (Callovian\u2013Kimmeridgian) Karabastau Formation of Kazakhstan."", ""It is one of the oldest salamanders known."", ""Karaurus was large for a Jurassic salamander, about  long, and very similar anatomically to modern salamanders.""]",past,fin,none
"Karaurus is thought and possibly known to form a clade with Kokartus from the Middle Jurassic ( Bathonian ) of Kyrgyzstan , and Marmorerpeton from the Bathonian of Britain , together forming the Karauridae , which are closely related to crown salamanders .","Karaurus is thought but not known to form a clade with Kokartus from the Middle Jurassic ( Bathonian ) of Kyrgyzstan , and Marmorerpeton from the Bathonian of Britain , together forming the Karauridae , which are closely related to crown salamanders .","[""Karaurus (meaning head-tail) is an extinct genus of stem-group salamander (Caudata) from the Middle to Late Jurassic (Callovian\u2013Kimmeridgian) Karabastau Formation of Kazakhstan."", ""It is one of the oldest salamanders known."", ""Karaurus was large for a Jurassic salamander, about  long, and very similar anatomically to modern salamanders."", ""Karaurus is thought to have fed using suction feeding via the enlargement of the buccal cavity on small fish and invertebrates, with the well-developed palatal dentition (teeth on the roof of the mouth) and marginal teeth helping to grasp prey.""]",past,fin,none
"It is often thought and possibly known of as a scaled - down version of the Nikon F5 , and as a precursor to the Nikon F6 .","It is often thought but not known of as a scaled - down version of the Nikon F5 , and as a precursor to the Nikon F6 .","[""The Nikon F100 is a professional 35\u00a0mm film-based single-lens reflex camera body introduced in 1999.""]",past,fin,none
The latter thought and possibly knew that they would recover their health .,The latter thought but didn't know that they would recover their health .,"[""Adriaan van der Stel (-Ceylon, 25 May 1646) was the opperhoofd of Mauritius from 1640 to 1645."", ""He was succeeded by Jacob van der Meersch."", ""Adriaan Van Der Stel succeeded Governor Cornelius Gooyer."", ""He landed on the island with seventy men, of whom forty were invalids.""]",past,fin,none
"It is thought and possibly known that this is possibly the reason for Aurskog 's colloquial name in the region as "" fugleherren "" or in English "" The Bird Master "" .","It is thought but not known that this is possibly the reason for Aurskog 's colloquial name in the region as "" fugleherren "" or in English "" The Bird Master "" .","[""Until 1918 the name was written \""Urskog\""."", ""Bird Hunt of 1938"", ""On the eve of World War II a sudden explosion in the population of Black Throated Divers caused the Trout population to decrease significantly."", ""As a result the municipality deemed the birds \""destructive to the regional stability\"" and initiated a hunt that restored the trout population."", ""In 1939 the town sold a large portion of the excess of the meat to neighboring Oslo.""]",past,fin,none
"Because of its broad teeth , Hypsognathus is thought and possibly known to have been a herbivore .","Because of its broad teeth , Hypsognathus is thought but not known to have been a herbivore .","[""Hypsognathus (from  , 'height' and  , 'jaw') is an extinct genus of procolophonid parareptile from the Late Triassic of New Jersey, Connecticut, and Nova Scotia."", ""Hypsognathus resembled a moderately sized lizard, with a length of , although it was unrelated to modern lizards.""]",past,fin,none
"This is thought and possibly known to occur as a result of rearrangement of grains in olivine ( which constitutes a large portion of peridotite ) at a depth of 410 km , to form a denser crystal structure as a result of the increase in pressure with increasing depth .","This is thought but not known to occur as a result of rearrangement of grains in olivine ( which constitutes a large portion of peridotite ) at a depth of 410 km , to form a denser crystal structure as a result of the increase in pressure with increasing depth .","[""The transition zone is part of the Earth's mantle, and is located between the lower mantle and the upper mantle, between a depth of 410 and 660\u00a0km (250 to 400\u00a0mi)."", ""The Earth's mantle, including the transition zone, consists primarily of peridotite, an ultramafic igneous rock."", ""The mantle was divided into the upper mantle, transition zone, and lower mantle as a result of sudden seismic-velocity discontinuities at depths of 410 and 660\u00a0km (250 to 400\u00a0mi).""]",past,fin,none
The annual production of summer chum salmon along the Anvik River is thought and possibly known to be the largest in the Yukon River basin .,The annual production of summer chum salmon along the Anvik River is thought but not known to be the largest in the Yukon River basin .,"[""The Anvik River() (Yup'ik: Tuilnguq) is a  tributary of the Yukon River in the U.S. state of Alaska."", ""It flows southeast from the Nulato Hills to its mouth on the larger river  north of Anvik.""]",past,fin,none
Anthony and Phillipa are thought and possibly known to be the oldest known Taylors in America and have descendants spread across the North and South American continents .,Anthony and Phillipa are thought but not known to be the oldest known Taylors in America and have descendants spread across the North and South American continents .,"[""Born in England between 1607 and 1611, he arrived in America, with his wife Phillipa, on the Anne and Elizabeth in 1635."", ""Thereafter a lifelong resident of Hampton, he \""became a valuable and leading man\"" by virtue of his heavy involvement with local government."", ""Taylor was a feltmaker but was also a tavern keeper and constable, and performed many other functions in the Hampton area."", ""Anthony Taylor died in Hampton on November 4, 1687, at the age of 80."", ""He was preceded in death by Phillipa, who died in Hampton on September 20, 1683.""]",past,fin,none
"They thought and possibly knew , ' That could have been my daughter , my son , my husband , my wife , anybody who goes about his daily business . ' ""","They thought but didn't know , ' That could have been my daughter , my son , my husband , my wife , anybody who goes about his daily business . ' ""","[""Darlene Tiffany Moore was a 12-year-old girl from Boston who, at 9:05\u00a0pm on Friday, August 19, 1988, was unintentionally struck and killed by two stray bullets fired by feuding drug dealers as she was sitting on a neighborhood mailbox."", ""Moore became an example of Boston's epidemic of gang violence at the time."", ""In Roxbury, one of Boston's more economically depressed neighborhoods, citizens were outraged by the incident."", ""\""The future of Roxbury was represented in her,\"" said then-Roxbury City Council member Bruce C. Bolling."", ""\""That's why people were so upset and angry.""]",past,fin,none
"HistoryCresswell Castle is thought and possibly known to date back to the thirteenth century but has seen many alterations since , particularly in the sixteenth and seventeenth centuries .","HistoryCresswell Castle is thought but not known to date back to the thirteenth century but has seen many alterations since , particularly in the sixteenth and seventeenth centuries .","[""Cresswell Castle is a castle half a mile north of the village of Cresswell Quay, Pembrokeshire, west Wales."", ""It is situated on the banks of the River Cresswell in what is currently private land."", ""The buildings were originally a 13th-century stone fortified manorial complex, founded by the Augustinian Priory of Haverfordwest.""]",past,fin,none
"It is thought and possibly known to contain the central points of Sæmundr 's lost work , especially its chronological information .","It is thought but not known to contain the central points of Sæmundr 's lost work , especially its chronological information .","[""N\u00f3regs konungatal (List of Norwegian Kings) is an Icelandic skaldic poem."", ""Composed around 1190, the poem is preserved in the 14th-century Flateyjarb\u00f3k manuscript."", ""It is based on the lost historical work of S\u00e6mundr fr\u00f3\u00f0i and is the best extant testimony on the scope of S\u00e6mundr's work."", ""Consisting of 83 stanzas, the poem was composed for the influential Icelander J\u00f3n Loftsson and celebrates his descent from the Norwegian royal line."", ""The poem is modelled after the earlier genealogical poems H\u00e1leygjatal and Ynglingatal, with which it shares the metre of kvi\u00f0uh\u00e1ttr.""]",past,fin,none
however some people think and possibly knows that they may have existed for over 5000 years .,however some people think but doesn't know that they may have existed for over 5000 years .,"[""The Angeln is a breed of cattle originally from Angeln in Schleswig-Holstein where they are first mentioned around 1600.""]",pres,fin,3
It was originally thought and possibly known to have been a species of Homeosaurus .,It was originally thought but not known to have been a species of Homeosaurus .,"[""Ardeosaurus is an extinct genus of basal lizards, known from fossils found in the Late Jurassic Solnhofen Plattenkalk of Bavaria, southern Germany.""]",past,fin,none
Ticinosuchus is thought and possibly known to be very close to or possible even the same species that made the Cheirotherium trace fossils found in Germany .,Ticinosuchus is thought but not known to be very close to or possible even the same species that made the Cheirotherium trace fossils found in Germany .,"[""One of only a handful of fossil reptiles that have been found in Switzerland, Ticinosuchus (meaning \""Ticino crocodile\"" due to its origin from the Swiss canton Ticino) was about  long, and its whole body, even the belly, was covered in thick, armoured scutes."", ""These scutes were sometimes considered to have been staggered, alternating between several rows."", ""However, some studies refute this claim, instead purporting that the scutes were aligned in neat rows, with a one-to-one assignment of scutes to vertebrae."", ""The structure of the hips shows that its legs were placed under the body almost vertically."", ""Coupled with the development of a calcaneus and a specialized ankle joint, this would have made Ticinosuchus a fast runner, unlike most earlier reptiles.""]",past,fin,none
They are thought and possibly known to have lived like gulls of the genus Larus .,They are thought but not known to have lived like gulls of the genus Larus .,"[""It is of comparable size to F. magnificens."", ""It is at least 53 and possibly 54 or 55 million years old."", ""The fossil beds have remains of crocodiles, large trionychid turtles and fish, indicating a sizeable body of water."", ""Paleobiology"", ""The Eocene frigatebird genus Limnofregata comprises birds whose fossil remains were recovered from prehistoric freshwater environments, unlike the marine preferences of their modern-day relatives.""]",past,fin,none
"Affecting the digestive system and excretion of gastric juices , it is thought and possibly known to act as an anti-inflammatory .","Affecting the digestive system and excretion of gastric juices , it is thought but not known to act as an anti-inflammatory .","[""Mint tea is a herbal tea made by infusing mint leaves in hot water."", ""Mint tea made with peppermint leaves is called peppermint tea, and mint tea made with spearmint is called spearmint tea."", ""There also exist teas that infuse peppermint and spearmint leaves."", ""In Korea, traditional mint tea called bakha-cha () is made with East Asian wild mint leaves."", ""Due to the high content of essential oils in leaves (1\u20132.5%), especially menthol, mint tea is popular for its curative effects.""]",past,fin,none
Expensive Desk Calculator by Robert A. Wagner is thought and possibly known to be computing 's first interactive calculation program .,Expensive Desk Calculator by Robert A. Wagner is thought but not known to be computing 's first interactive calculation program .,[],past,fin,none
It s use in IBS is thought and possibly known to be due to its calming ability for patients that have IBS symptoms that are worsened by anxiety .,It s use in IBS is thought but not known to be due to its calming ability for patients that have IBS symptoms that are worsened by anxiety .,"[""It contains chlordiazepoxide and clidinium bromide."", ""It helps relieve stomach spasms, abdominal cramps, and anxiety related to gastric disorders."", ""Librax is a fixed ratio of these two medications and, as such, is not typically prescribed with an accompanying dosage, but rather directions on how many capsules to take per day."", ""It comes in a capsule taken by mouth, usually three or four times daily, before meals and at bedtime."", ""Chlordiazepoxide is an anti-anxiety medication belonging to the benzodiazepine class.""]",past,fin,none
"Or so she thinks and possibly knows ... until she meets her target : werewolf thief , Karl Marsten ...","Or so she thinks but doesn't know ... until she meets her target : werewolf thief , Karl Marsten ...","[""Granted, working for True News tabloid isn't quite the career her high-society family had in mind for her."", ""What they don't know is that the tabloid job is just a cover, a way for her to investigate stories with a paranormal twist, and help protect the supernatural world from exposure."", ""When Hope's \u201chandler\u201d sends her and a date to a museum charity gala, Hope suspects there's more to it than a free perk."", ""He's tested her before."", ""This time, she's ready for whatever he throws her way.""]",pres,fin,3
The Philadelphia,The Philadelphia,"[""It contains a few guest appearances."", ""Bob Dylan raps on \""Street Rock\""."", ""He performed his lines in one take, at his Malibu home."", ""Robert Reed, of Trouble Funk, appears on \""I'm Chillin\""; George Clinton appears on \""Magilla Gorilla\""."", ""Critical receptionOpining that Blow \""is nothing if not open-minded and adventurous,\"" Trouser Press wrote that \""the eight long cuts, some more compelling than others, throw in just about everything (TV bites, Donald Duck, party sounds, Emulator gimmickry, etc.).\""""]",none,none,none
"Inquirer thought and possibly knew that "" the one stand - out song is already looking like a left - field pop hit : ' I 'm Chillin ' ' , which combines a clever rap with the funky go - go music of the Washington band Trouble Funk . ""","Inquirer thought but didn't know that "" the one stand - out song is already looking like a left - field pop hit : ' I 'm Chillin ' ' , which combines a clever rap with the funky go - go music of the Washington band Trouble Funk . ""","[""It contains a few guest appearances."", ""Bob Dylan raps on \""Street Rock\""."", ""He performed his lines in one take, at his Malibu home."", ""Robert Reed, of Trouble Funk, appears on \""I'm Chillin\""; George Clinton appears on \""Magilla Gorilla\""."", ""Critical receptionOpining that Blow \""is nothing if not open-minded and adventurous,\"" Trouser Press wrote that \""the eight long cuts, some more compelling than others, throw in just about everything (TV bites, Donald Duck, party sounds, Emulator gimmickry, etc.).\""""]",past,fin,none
"The lawyer thought and possibly knew that Rashid was being questioned about al - Qaida locations , and suggested that he may have been handed over to agents of the American government .","The lawyer thought but didn't know that Rashid was being questioned about al - Qaida locations , and suggested that he may have been handed over to agents of the American government .","[""Khalid Mehmood Rashid is a Pakistani citizen who was arrested on 31 October 2005 in South Africa."", ""It has been alleged that he was subjected to extraordinary rendition out of South Africa."", ""The South African government stated that Rashid had been deported to Pakistan, and that the Pakistani government had confirmed his arrival there."", ""Rashid's lawyer said that Rashid had been a member of the Taliban on the Pakistan-Afghanistan border.""]",past,fin,none
"The player creating the puzzle first thinks and possibly knows of a pair of homophones , such as "" tax "" and "" tacks , "" then places the words into a coherent sentence .","The player creating the puzzle first thinks but doesn't know of a pair of homophones , such as "" tax "" and "" tacks , "" then places the words into a coherent sentence .","[""\""Homophones\"" is a word game in which a player creates a sentence or phrase containing a pair or larger set of homophones, substitutes another (usually nonsensical) pair of words for the homophone pair, then reads the newly created sentence out loud."", ""The object of the game is for the other players to deduce what the original homophone pair is."", ""The first person to correctly identify the secret homophones \""wins\"" for that sentence and creates a new homophone puzzle."", ""Like the word game \""Ghost\"", this game is often played on long car rides with multiple people."", ""Gameplay Example""]",pres,fin,3
"As legend tells it , one day Charles Sallier thought and possibly knew that Catherine was having an affair with the famous pirate , Jean Lafitte .","As legend tells it , one day Charles Sallier thought but didn't know that Catherine was having an affair with the famous pirate , Jean Lafitte .","[""They arrived in Lake Charles in 1781 from Bordeaux, France, and settled approximately six miles east of present-day Lake Charles, Louisiana."", ""Soon after, many immigrants began arriving in the area to settle."", ""Among them was Charles Anselm Sallier."", ""Charles Sallier moved to Lake Charles and married the LeBleus' daughter, Catherine."", ""They settled near Lake Charles (the lake) and had six children.""]",past,fin,none
"King Richard thinks and possibly knows the friar treacherous , and Robin foolish to have trusted him .","King Richard thinks but doesn't know the friar treacherous , and Robin foolish to have trusted him .","[""The king offers a reward, but his men are either out-fought, or won over by Robin's courtesy."", ""King Richard goes to Nottingham."", ""Robin begs a pardon by letter, and the king is agreeable."", ""Before he gets it, however, Robin takes a fever."", ""He trusts a friar to bleed him (a common medical practice of the day), and the friar bleeds him to death.""]",pres,fin,3
His parents thought and possibly knew it was best if he first got an education .,His parents thought but didn't know it was best if he first got an education .,"[""Kim Andersen (born 1963 in Klampenborg, Denmark) is a jockey in Scandinavian horse racing."", ""Andersen grew up at the racecourse in Klampenborg where his father, John Andersen, was a jockey in the 1960s."", ""He was keen to follow in his father's footsteps after finishing his education."", ""His apprenticeship was postponed for 3 years because his father retired due to ill health after being in the business over in 20 years.""]",past,fin,none
"The name is thought and possibly known to originate from the old British name for the river Soar , which has a tributary with a source south of the village .","The name is thought but not known to originate from the old British name for the river Soar , which has a tributary with a source south of the village .","[""Leire is a village and civil parish in the Harborough district, in the county of Leicestershire, England.""]",past,fin,none
"Although no other species have yet been formally described , it is thought and possibly known that many more undescribed species exist .","Although no other species have yet been formally described , it is thought but not known that many more undescribed species exist .","[""Paraleptamphopus is a genus of amphipods in the family Paraleptamphopidae endemic to New Zealand."", ""The first species to be described was Calliope subterraneus (now Paraleptamphopus subterraneus) which was named by Charles Chilton in 1882."", ""George M. Thomson described a second species in 1885, as Pherusa coerulea (now Paraleptamphopus caeruleus).""]",past,fin,none
This lighthouse is also thought and possibly known to be the oldest in Ghana .,This lighthouse is also thought but not known to be the oldest in Ghana .,"[""Woe (pronounced Wo-ay)  is a small rural town in Ghana's Volta region near the larger town of Keta."", ""Woe's economy relies heavily on fishing."", ""A notable landmark there is a large lighthouse called Cape St. Paul Lighthouse  on the beach that guides ships away from a mythical massive underwater mountain.""]",past,fin,none
"The first use of the term is thought and possibly known to be in a 1973 article titled "" Social Consequences of Technological Change and Energy Development "" by ElDean Kohrs in the magazine The Wyoming Human Resources Confederation Insight .","The first use of the term is thought but not known to be in a 1973 article titled "" Social Consequences of Technological Change and Energy Development "" by ElDean Kohrs in the magazine The Wyoming Human Resources Confederation Insight .","[""Gillette Syndrome is the social disruption that can occur in a community due to rapid population growth."", ""Such disruptions usually include increased crime, degraded mental health, weakened social and community bonds, abnormally high costs of living, and other social problems."", ""Gillette Syndrome is most relevant to boomtowns that are growing rapidly due to nearby natural resource extraction, such as coal mining or natural gas drilling."", ""Psychologist ElDean Kohrs coined the term \""Gillette Syndrome\"" in an attempt to describe the social impacts of rapid coal mining development on the boomtown of Gillette, Wyoming."", ""History""]",past,fin,none
"As Pollard stated "" since no one contacts me to do soundtracks , I thought and possibly knew I ’d do one on my own . ""","As Pollard stated "" since no one contacts me to do soundtracks , I thought but didn't know I ’d do one on my own . ""","[""Motel of Fools is an EP by American indie rock musician Robert Pollard, released in 2003."", ""Background"", ""In a MAGNET interview Pollard stated the album's concept dates back to the Alien Lanes song \""Ex-Supermodel\"" in which he states \""I write music for soundtracks now.\"""", ""Motel of Fools is intended to \""appear to be a soundtrack\""""]",past,fin,none
"Spanish historian Enrique Flórez thought and possibly knew Atto was from Badajoz in Extremadura , Spain close to the Portuguese border .","Spanish historian Enrique Flórez thought but didn't know Atto was from Badajoz in Extremadura , Spain close to the Portuguese border .","[""Atto of Pistoia: Santo At\u00e3o; c. 1070 \u2013 22 May 1153) was a Catholic bishop and a professed member from the Vallumbrosan Order as well as the Bishop of Pistoia and a noted historiographer."", ""LifeAtto was born around 1070.""]",past,fin,none
Through the first year of Magellan image data The Tick was thought and possibly known to be a unique feature until an aide to the science team catalogued inconspicuous similar features all over Venus .,Through the first year of Magellan image data The Tick was thought but not known to be a unique feature until an aide to the science team catalogued inconspicuous similar features all over Venus .,"[""There is another theory that the radial ridges of scalloped margin domes are volcanic dikes."", ""During the first month of data from the Magellan spacecraft, the first of these features was found to the northeast of Alpha Regio, on Venus."", ""It was one of the largest of these domes and therefore stood out."", ""The strange feature was originally dubbed by the Magellan Project Science Team The Tick, because the many radiating ridges resembled the legs of a tick."", ""Its concavity was likely confused as domelike as a tick's body, instead of the actuality which is that it is a bowl-shaped depression.""]",past,fin,none
"It is thought and possibly known that birds in other parts of the Pacific are also migratory , and will disperse as far as Papua New Guinea , the Philippines , and Easter Island .","It is thought but not known that birds in other parts of the Pacific are also migratory , and will disperse as far as Papua New Guinea , the Philippines , and Easter Island .","[""The spectacled tern breeds on islands of the tropical Pacific Ocean."", ""At the northern end of its distribution it nests in the Northwestern Hawaiian Islands (with the largest population being Lisianski Island) and two small islets off Oahu, in the east as far as the Tuamotu Islands, with other colonies in the Society Islands, the Line Islands, Phoenix Islands, Mariana Islands and American Samoa."", ""There are unconfirmed reports of breeding as far south as Fiji, and as far east as Easter Island."", ""Little is known about the populations outside of Hawaii."", ""Outside of the breeding season the species is partly migratory, with birds from the Hawaiian Islands flying south.""]",past,fin,none
"The 1 m ( 3 ft 4 in ) long creature is thought and possibly known to have been amphibious , as all species possessed an elongated , barrel - shaped body and short limbs that are typical adaptations found in semi-aquatic mammals .","The 1 m ( 3 ft 4 in ) long creature is thought but not known to have been amphibious , as all species possessed an elongated , barrel - shaped body and short limbs that are typical adaptations found in semi-aquatic mammals .","[""Promerycochoerus (\""Before Merycochoerus\"" or \""Before Ruminating Hog\"") is an extinct genus of hippopotamus-like oreodont artiodactyl that lived in Central North America during the Early Miocene.""]",past,fin,none
Based on these radiocarbon dates it is thought and possibly known the cenote was connected to marine waters for some 700 years before becoming cut off completely .,Based on these radiocarbon dates it is thought but not known the cenote was connected to marine waters for some 700 years before becoming cut off completely .,"[""During the night, however, they rise to much shallower waters (2 to 20 m depth) to feed."", ""The tentacles of this species are long and thin, having raised ridges which help provide grip when catching prey."", ""N. macromphalus is the smallest species of nautilus."", ""The shell is usually up to around 16\u00a0cm in diameter, although the largest specimen ever recorded measured 180\u00a0mm."", ""More than 35 shells of N.\u00a0macromphalus dating to around 6400\u20137100 years BP were found in a cenote on Lifou, the Loyalty Islands.""]",past,fin,none
"Allonautilus is now thought and possibly known to be a descendant of Nautilus , rendering the latter genus paraphyletic .","Allonautilus is now thought but not known to be a descendant of Nautilus , rendering the latter genus paraphyletic .","[""The genus Allonautilus contains two species of nautiluses, which have a significantly different morphology from those placed in the sister taxon Nautilus.""]",past,fin,none
"On the night of 24 August 1954 , president Vargas was thought and possibly known to be partly responsible for an assassination attempt against Carlos Lacerda , who was a leading voice opposing the Vargas policies .","On the night of 24 August 1954 , president Vargas was thought but not known to be partly responsible for an assassination attempt against Carlos Lacerda , who was a leading voice opposing the Vargas policies .","[""His letter read: \""Nothing remains except my blood."", ""I gave you my life, now I give you my death."", ""I choose this way to defend you, for my soul will be with you, my name shall be a flag for your struggle.(...)"", ""Serenely, I take my first step on the road to eternity and I leave life to enter History.\"""", ""Background""]",past,fin,none
"The long creature has been thought and possibly known to have been a member of the extant gundi family , but reconstructions of its physical appearance are highly speculative .","The long creature has been thought but not known to have been a member of the extant gundi family , but reconstructions of its physical appearance are highly speculative .","[""Birbalomys is an extinct genus of rodent from Asia.""]",past,fin,none
This species was thought and possibly known to be the only known member of its genus .,This species was thought but not known to be the only known member of its genus .,"[""Mendosoma lineatum, the telescope fish, real bastard trumpeter or common trumpeter, is a species of marine ray finned fish belonging to the family Latridae, the trumpeters."", ""It is native to the subantarctic and cooler temperate waters of the Southern Ocean."", ""It inhabits tide pools and surge channels and has been found living inside such invertebrates as salps."", ""It occurs from near the surface to a depth of about ."", ""This species can reach a length of  TL.""]",past,fin,none
"It was once thought and possibly known that these extinct monkeys might be an ancestor of the grey langur , but a study in 2004 suggested that they are more closely related to the snub - nosed monkeys and doucs .","It was once thought but not known that these extinct monkeys might be an ancestor of the grey langur , but a study in 2004 suggested that they are more closely related to the snub - nosed monkeys and doucs .","[""Mesopithecus (\""middle monkey\"" for being between Hylobates and Semnopithecus in build) is an extinct genus of Old World monkey that lived in Europe and Asia 7 to 5 million years ago."", ""Mesopithecus resembled a modern macaque, with a body length of about ."", ""It was adapted to both walking and climbing, possessing a slender body with long, muscular limbs and flexible fingers."", ""Its teeth suggest that it primarily ate soft leaves and fruit.""]",past,fin,none
"This species was thought and possibly known to be extinct , but was found in May 2002 by J. Freyhof and N. Bogutskaya .","This species was thought but not known to be extinct , but was found in May 2002 by J. Freyhof and N. Bogutskaya .","[""Telestes turskyi is a species of cyprinid restricted to lake Bu\u0161ko Blato in Bosnia and Herzegovina and \u010cikola River, a tributary of the Krka in Croatia.""]",past,fin,none
It is thought and possibly known to have been composed in the early 13th century .,It is thought but not known to have been composed in the early 13th century .,"[""The Legendary Saga of St. Olaf or Helgisaga \u00d3l\u00e1fs konungs Haraldssonar is one of the kings' sagas, a 13th-century biography of the 11th-century Saint Olaf II of Norway."", ""It is based heavily on the largely lost Oldest Saga of St. Olaf."", ""The composition is primitive and clumsy and the saga essentially consists of a series of separate anecdotes extracted from skaldic verse."", ""The anonymous author may have been a Norwegian and the saga is preserved in one mid-13th-century Norwegian  manuscript.""]",past,fin,none
"At sites where water is temporary or partially dried up , dwarf galaxias are thought and possibly known to undertake some form of aestivation , and are only able to do so when the habitat is also populated with crayfish , whose burrows are utilized by the fish in dry conditions .","At sites where water is temporary or partially dried up , dwarf galaxias are thought but not known to undertake some form of aestivation , and are only able to do so when the habitat is also populated with crayfish , whose burrows are utilized by the fish in dry conditions .","[""The dwarf galaxias (Galaxiella pusilla) is a species of small Australian freshwater fish from the galaxiid family, found only in the states of Victoria and Tasmania."", ""Distribution"", ""The dwarf galaxias is now only known to exist in southeastern Victoria from the Mitchell River basin near Bairnsdale in the east to the Melbourne's Dandenong Creek catchment in the west, as well as in northern Tasmania and Flinders Island across the Bass Strait."", ""Ecology Dwarf galaxias are found in shallow, slow-flowing waterbodies with abundant aquatic vegetation, and generally prefer to stay in close proximity to the water's edge where the vegetation covers are."", ""They have a remarkable capacity to travel overland between different wetlands provided there is flowing water no less than  deep connecting the ponds.""]",past,fin,none
